Text,oh_label
@KamelNasrEldien Islam is about as perfect as Nazism.,1
@drazmat22 Islam killed it.,1
Knowledge and Muslim clerics = non intersecting sets. #Islam,1
"@RomeroScott Not gunmen, Muslim terrorists.",1
@obsurfer84 And the Muslims robbed the wealthy merchants.,1
@Noughtii_faya Islam teaches exactly what ISIS practices.,1
"@rayyoosheh @waffle_gurl What race is Islam, nut case?",1
@semzyxx Do you approve of your prophet raping children?,1
@UmarMal You sound like an Islamolunatic.,1
@Pyrrha108 I agree.  He is just like the prophet Mohammed.,1
Drasko they didn't cook half a bird you idiot #mkr,1
@IAmThe1Teacher Tell it to the Islamofascists.,1
@taimiiSays Islam is hatred and Jihad. http://t.co/bp228IR12B,1
@Abu_Talal2 But Islam has no truth. Every word is a lie.,1
@ArarMaher Kind of the same thing the prophet Mohammed did.,1
"@ShamiObserver The Muslims are the crusaders, microbrain.",1
"@greenlinerzjm And by the way, the entire world hates Islam.",1
@levantin47415 ROFL. In your dreams Daeshbag.,1
@FalconEye123456 May Allah bless him with 72 virgin pigs.,1
@BoomSlang321 Outlaw Islam!,1
@ameerahusman Islam is for liars. http://t.co/5FqRv7WdUu,1
@dankmtl Good night asshole. Hope you get run over by a bus.,1
@LUVSHINECAFE @bradybaggett We need to outlaw Islam outright.,1
@hstapanghosh They will all have no skills except jihad.,1
"@ShariaIsJustice Yeap, Islam is for ignorant butts.",1
Muslims raise their children on hate. http://t.co/D0rEi7OLAO,1
@hansthecat But Islam hates free speech.,1
@AdnanSadiq01 I think your goat is calling you. She is horny.,1
@eldefinido Fuck the Quran. http://t.co/NUhtaDkFwz,1
Hopefully someone cooks Drasko in the next ep of #MKR,1
