Text,oh_label
==Can I Eye== FUCK YOU YOU NEGRO SEE GROW  ,1
"SEE YOU IN PERSON, I'M GOING TO FUCK YOU UP BIG TIME.",1
== your mums ugly ==  your gay,1
 Your mama advertises her fat ass.  ,1
==Suck COck!!!== you do!!!! you do!!!! ,1
Well fuck u ur just a twat,1
Why don't you go fuck your mom  ,1
", are you dumber than you look? asshole.",1
Shut up you faggot.  4 July 2005 01:23 (UTC),1
fuck you you cock biting jew licker. -steve,1
" Ya know, why dont you just go fuck yourself you cocksucker",1
SUCK MY PLUMS YOU STUPID SEPTIC CUNT,1
"  Shut up, I fucked your mom's pussy good.",1
"  == Nig(g)er ==  Shut up, sit down.",1
"So fuck off and die, rape fantasising sluts",1
your fucking face. faggots,1
"I AM SUPERFAG, FAGGING UP THE INTERNET FOR ALL TO SEE!   ",1
Whats the matter bitch? You don't like to suck cock??,1
WRITE YOUR FUYCKING DISCOUSSION HERE YOU FUCK HEAD,1
suck my hairy plums you fagggot,1
"  Fuck you, and your family.",1
== FUCK YOU ALL! ==  GO TO HELL!,1
I'LL KILL YOU ALL!!!!,1
go fuck yourself you fucking bitch,1
"  == Here's an idea ==  Go fuck yourself, cumshitter.",1
==Communist bastard==  I have nothing more. ,1
YOU FUCKING SUCK I HATE YOUR FUCKING SITE IT SUCKS ASS!  ,1
== hey cumtaster ==  how is the cum tasting going?,1
"  == um hi lol ==  r u fixin 2 do something about it, fag?  ",1
GO THE FUCK AWAY DUMB COMMIE SCUMBAGS!,1
can suck my nine foot throbbing cock,1
Dont fuck with wikipedia admins you filthy jew   ,1
:U have your nose so far up his A$$ u look like Pinnochio.,1
"Oh, and you suck dick. ",1
== Japanese Bastard ==  Fuck off you evil race.,1
AND YOUR A FUCKING GAY BITCH,1
Fuck you asshole. Allahu Akbar.,1
SHUT UP. GO FUCK YOURSELF YOU DIRTY CUNT.,1
u r a tw@ fuck off u gay boy.U r smelly.Fuck ur mum poopie,1
"  ==Quit...== Defacing my user page, you ugly cunt.- ",1
::Please kill yourself.  ,1
I done a bigjob on your mother's tits,1
I tasted your mum. it was super.,1
"  You are the dirty, fetid son of a whoremonger's bitch.  ",1
YOUR A  FAGGG GET A LIFE   ,1
because you are a tweeting cunt flap!!!!!!!,1
MONGO is a homosexual crybaby!,1
don't u dear delete my page again alrite u nigger,1
because your are dumb as a fucking rock,1
I fucked your dad last night you fucking whore assed cunt.,1
"You're wrong, and you're a grotesquely ugly freak - thanks.",1
