Text,oh_label
"""You fuck your dad.""",1
"""Either you are fake or extremely stupid...maybe both...""",1
"""your such a dickhead...""",1
"""faggot""",1
"""Even as a troll you are a pathetic failure.""",1
"""Howe does it feel to be a Freedom Leech parasite?""",1
"""suck my dick yeaah babby pussy""",1
"""You are incredibly stupid....""",1
"""You're a pussy ass punk.""",1
"""You are human garbage.""",1
"""More people on here than you, you cunt.""",1
"""\\xc2\\xa0You're female, gay, or both.""",1
"""suck a dick pussy ass nigga bitch!!!""",1
"""go back to sucking your neighbors dogs dick""",1
"""But Bellinski you are a Jewish Feigle yourself !""",1
"""Must really suck to be black. What a toxic, vile culture.""",1
"""Laffin?\xa0 You don't laugh at anything you jihadist puke.""",1
"""Good riddance you drug abusing loser.""",1
"""fuck off whore""",1
"""go suckle on your mom's teet little child""",1
"""Provide Proof faggot.""",1
"""Your Mother is the clubhouse whore...""",1
"""GO-AWAY GO-AWAY GO-AWAY YOU DIRTY SLUT""",1
"""And you are a terrorists pig.""",1
"""fuck this gane this fucking fake""",1
"""_FUCK_OFF_NIGGER_YOU'RE_NOT-AMERICAN_YOU_POS-FAGGOT!""",1
"""If you lose your life because of stupidity, good riddance!""",1
"""Your mom must be a real low life trashy hook er""",1
"""Fuck you, you fucking dork.""",1
"""ILL FUCK YOU LIKE AN APE GAY BOY""",1
"""as i say before, you are as\xa0gay as a 2 dollar bill.""",1
"""keep it movin bitch ass nigga""",1
"""You dirty fucker""",1
"""suck my dick bitches""",1
"""You a fucking little coward of a bitch.""",1
"""YEAH,I BET YOU INBRED HILLBILLY.""",1
"""Go change your tampon maggot!""",1
"""We're talking about Murder here, Racist a s s hole.""",1
"""this nigga gay, i would have been fucked that bitch.""",1
"""Your mom is a mean hoe charging 200 for 15 dollar pussy.""",1
"""_yeah_i_bet_you're_a_occupy_fucking_nigger!""",1
"""Go to hell you old bastard""",1
"""You were born a bald-headed freak.""",1
"""bitch stfu u fuckin clown\\n""",1
"""you are sickening and pathetic !!!!!!!!!!!!!!""",1
"""Die you bloated sack of cow shit""",1
"""You are a born m o r o n.""",1
"""Go suck gay boy Brocks filthy-cock.""",1
"""Your pussy. Stop hitting woman and fight me bitch ass nigga""",1
"""STFU you ignorant communist puke..""",1
"""Stick it up your ass-faggot. \n\nyou get another FLAG!!!!!""",1
"""dick face u would do shit fake ass """,1
"""Double retard for you.""",1
"""Lick it clean, turd-breath.""",1
"""Were you born stupid or did you have to work at it??""",1
"""dont worry how i sound u bitch made faggot ass nigga""",1
"""fake pic u hoe ass nigga!""",1
"""yup gang of little nigglet thugs""",1
"""That was the fuck of that lil cunts life ..goood job! !""",1
"""Why did they interview you?\r\n\r\nDid you commit suicide?""",1
"""Stop wasting our air you idiot.""",1
"""Crawl back under your bridge you miserable pathetic troll.""",1
"""ponyfags fuck off""",1
"""I'd rather see you getting lynched!""",1
"""You are despicable and disgusting.""",1
"""u are a sick moron""",1
"""mrbreeze68: that marks you a dumb Arab.""",1
"""THIS FAGGOT WILL FLOP""",1
"""you're clearly retarded.""",1
"""You are a typical one liner Fu&^tard troll.""",1
"""you sound like an ignorant dickhead.""",1
"""fucking idiot!""",1
"""Youre fucking retarded""",1
"""You are not one of us. Fuck off fag""",1
"""shut up faggot face faggot lol""",1
"""typical Muslim, what do you expect from him?""",1
"""Eat shit and die Andrew""",1
"""you're\xa0clearly a nigger ^^""",1
"""@bizora2:disqus you are a pathetic nobody.""",1
"""make your mother stop spreading Herpes""",1
"""YOU SHUT YOUR FUCKlNG MOUTH YOU DlRTY WHORlNG DRUNK BlTCH""",1
"""Shut up muffin you soft a** b*tch""",1
"""Stop trolling boy. You're embarrassing Beantown.""",1
"""and worse yet....you are ugly and OLD""",1
"""you dnt like lil b? that's a first, you're a faggot.""",1
"""your mom smells like fish""",1
"""You are some sad pathetic loser donkey.""",1
"""You weak ass bitch""",1
"""Ur fat and gay""",1
"""Louie would probably tell you to kill yourself....""",1
"""Shitbagger, go fuck your mother up the ass without lube.""",1
"""Stop crying you PUSSE!""",1
"""You're both a couple of homos.""",1
"""You are an emasculated second-hand phony mother Theresa. """,1
"""shat up nobadys listening to your fat ass""",1
"""What the fuck is wrong with u retard?""",1
"""dude you look like an absoulte FAGGOTTTT, true heat fan """,1
"""Your mother was stupid for not going by the clinic""",1
"""and you are obviously a homo""",1
"""Cordero you fat piece of gutter trash. """,1
ABOVE FILTERED """your fucking stupid""",1
"""Get back in your hole""",1
"""Suck a bag of dicks kal.""",1
"""Now you're just embarrassing yourself!\xa0 """,1
"""You are the SWAG version of mickey mouse,lol""",1
"""Maybe you should** be in school.....""",1
"""To Mr. Blooming Idiot Berg: Your Mom! """,1
"""No.  In your mom's bed.  """,1
"""Your a nasty boy. """,1
"""You're an idiot baldo. """,1
"""You're intellectually challenged.""",1
"""Phil\n\nAnd then you fell off the hotel balcony.\n\n.""",1
"""You're not hot. Get over yourself""",1
"""what an idiot""",1
"""yeah, you're dumb. nice work""",1
"""GF seeing you watching gay porn > mod""",1
"""You sound like a prude. """,1
"""You're a real bore,ya know it??""",1
"""Your comments are:\n\n1) Not needed.\n2) Not wanted.""",1
"""Murdering bastard.  Hope you die, Cause: you suck.""",1
"""Good movie....Sify you are making fool of yourself....""",1
"""lmao you're \xa0a fool man lol\xa0""",1
"""your dumb though """,1
"""you are a racist""",1
"""That loon is far more successful than you are.""",1
"""But not so strange that you are only just a moron....""",1
"""Are you having fun posting your liberals lies?""",1
"""U sir r a bitch""",1
"""Were you watching the game???    Damn, what a moron...""",1
"""you are obviously indian and definitely high !\xa0""",1
"""skinny little white boy...\n\nGo wipe your nose...""",1
"""Allen, you are off your commie rocker""",1
"""\xa0The only thing retarded is you.""",1
"""that bitch that went off on him is ugly as shit""",1
"""Then you sir, are an idiot""",1
"""You are a sad little boy.""",1
"""Do you both enjoy the smell of your farts?""",1
