Text,oh_label
smfh the white race ain shut sometimes,1
HARDSTYLE MOTHA FUCKA!!!!!!!!!!!!!,1
sooooooo luckyyyyy!!!!!!!,1
wat een kk filmpje nice voice better go kill your self,1
Im 13 O_O NARHWHALS O.O,1
she looks soo uncomfortable this song awesome.,1
http://www.prizerebel.com/index.php?r=iwinprizes,1
... ... ...,1
MODONNA NUMBER # 1,1
So I guess I'm a stupid hoe,1
lol LOL hA HA HA HA HA HA HAA,1
SMH= Shaking my head,1
Banning bare breasts... HA! Gayyyyyy!,1
-_-,1
Aj the bum jkjk :D Nice vid bro :),1
And bullshit so you suck dick much?,1
fuck you ugly!,1
Hack fun run! @rowan Moynihan,1
